Instance,Capacity,Beta,Stochastic
Kelly01,550,0.5,7558.444122688514
Kelly02,700,0.5,11496.076396610815
Kelly03,900,0.5,17724.449116297827
Kelly04,1000,0.5,22963.09960533432
Kelly05,900,0.5,10938.325017496856
Kelly06,900,0.5,13919.270489830576
Kelly07,900,0.5,16174.199062042133
Kelly08,900,0.5,18379.865303689843
Kelly09,1000,0.5,772.0144823946506
Kelly10,1000,0.5,993.5392127460796
Kelly11,1000,0.5,1159.6325144153777
Kelly12,1000,0.5,1395.3236201631914
Kelly13,1000,0.5,929.1238167348264
Kelly14,1000,0.5,1225.163868022495
Kelly15,1000,0.5,1399.7378739224016
Kelly16,1000,0.5,1731.4366467595569
Kelly17,200,0.5,737.8473559291261
Kelly18,200,0.5,1015.8121628049583
Kelly19,200,0.5,1418.9219790444297
Kelly20,200,0.5,1772.8088760018395
